guid,true_label,pred_label,true_label_id,pred_label_id
563,positive,negative,2,0
4488,negative,positive,0,2
483,neutral,positive,1,2
586,neutral,negative,1,0
2432,positive,neutral,2,1
1781,neutral,positive,1,2
4076,negative,positive,0,2
531,neutral,positive,1,2
2576,positive,negative,2,0
3460,neutral,positive,1,2
891,positive,negative,2,0
39,neutral,positive,1,2
4295,negative,neutral,0,1
3573,positive,negative,2,0
979,positive,negative,2,0
1310,neutral,positive,1,2
509,positive,negative,2,0
4967,positive,neutral,2,1
3537,neutral,positive,1,2
559,negative,positive,0,2
1959,negative,positive,0,2
4047,neutral,negative,1,0
3013,positive,negative,2,0
4007,negative,positive,0,2
140,neutral,negative,1,0
4217,positive,negative,2,0
1510,negative,positive,0,2
1706,positive,negative,2,0
5095,positive,neutral,2,1
1742,positive,negative,2,0
2447,neutral,positive,1,2
3668,negative,positive,0,2
3691,positive,negative,2,0
4572,positive,negative,2,0
3409,positive,negative,2,0
4051,positive,negative,2,0
745,positive,negative,2,0
3366,positive,negative,2,0
2552,neutral,negative,1,0
180,neutral,positive,1,2
3625,negative,positive,0,2
4744,positive,negative,2,0
4218,positive,negative,2,0
999,neutral,positive,1,2
2705,neutral,positive,1,2
307,positive,neutral,2,1
4716,negative,positive,0,2
2615,neutral,negative,1,0
473,negative,positive,0,2
1390,neutral,positive,1,2
2661,positive,negative,2,0
580,neutral,positive,1,2
3319,positive,neutral,2,1
4192,positive,negative,2,0
694,positive,negative,2,0
1042,neutral,negative,1,0
452,negative,positive,0,2
1679,positive,negative,2,0
878,positive,negative,2,0
433,neutral,positive,1,2
2013,negative,positive,0,2
227,positive,negative,2,0
3164,negative,positive,0,2
3163,neutral,negative,1,0
14,positive,negative,2,0
1231,positive,negative,2,0
536,positive,negative,2,0
2005,neutral,negative,1,0
777,positive,negative,2,0
544,positive,negative,2,0
3361,positive,negative,2,0
4221,positive,negative,2,0
3614,positive,neutral,2,1
2648,positive,negative,2,0
788,neutral,positive,1,2
3689,neutral,negative,1,0
1833,positive,negative,2,0
110,negative,positive,0,2
4179,positive,negative,2,0
434,positive,negative,2,0
1810,positive,negative,2,0
2707,positive,negative,2,0
2389,neutral,positive,1,2
699,negative,positive,0,2
4965,positive,negative,2,0
870,neutral,negative,1,0
1166,positive,negative,2,0
2086,positive,negative,2,0
4692,positive,negative,2,0
1741,negative,positive,0,2
3673,neutral,positive,1,2
5103,positive,negative,2,0
3208,positive,negative,2,0
2862,neutral,positive,1,2
927,neutral,negative,1,0
1102,negative,positive,0,2
3333,neutral,positive,1,2
618,neutral,positive,1,2
4473,positive,neutral,2,1
602,negative,positive,0,2
2038,neutral,positive,1,2
4149,positive,negative,2,0
1561,negative,positive,0,2
1288,negative,positive,0,2
1520,negative,positive,0,2
5025,negative,positive,0,2
30,negative,positive,0,2
2102,neutral,positive,1,2
3797,neutral,negative,1,0
4824,negative,positive,0,2
3004,positive,negative,2,0
3822,positive,negative,2,0
1710,negative,positive,0,2
2110,neutral,positive,1,2
2108,positive,negative,2,0
920,negative,positive,0,2
4729,positive,negative,2,0
936,neutral,positive,1,2
720,neutral,negative,1,0
1015,positive,negative,2,0
177,positive,negative,2,0
2884,positive,negative,2,0
4183,negative,positive,0,2
2514,negative,positive,0,2
506,positive,neutral,2,1
2985,neutral,negative,1,0
3330,neutral,positive,1,2
2761,neutral,negative,1,0
865,neutral,negative,1,0
1156,negative,positive,0,2
1407,positive,negative,2,0
764,positive,negative,2,0
4816,negative,positive,0,2
3991,positive,negative,2,0
2101,positive,negative,2,0
4358,positive,negative,2,0
119,negative,positive,0,2
4727,positive,negative,2,0
3337,negative,positive,0,2
4606,negative,positive,0,2
3113,positive,negative,2,0
4651,positive,negative,2,0
4426,positive,negative,2,0
1264,negative,positive,0,2
1419,neutral,negative,1,0
2937,neutral,positive,1,2
4649,positive,negative,2,0
4650,neutral,positive,1,2
4186,neutral,negative,1,0
1828,positive,negative,2,0
591,neutral,positive,1,2
24,neutral,negative,1,0
2603,negative,positive,0,2
4092,neutral,positive,1,2
2864,neutral,positive,1,2
243,neutral,positive,1,2
3808,neutral,positive,1,2
3365,negative,positive,0,2
1267,positive,negative,2,0
4962,positive,negative,2,0
2453,neutral,positive,1,2
53,positive,negative,2,0
1813,positive,negative,2,0
2794,negative,positive,0,2
5121,positive,negative,2,0
2656,positive,negative,2,0
1787,positive,negative,2,0
3159,neutral,negative,1,0
728,positive,negative,2,0
2783,negative,positive,0,2
3055,negative,positive,0,2
3877,positive,negative,2,0
441,positive,negative,2,0
4751,positive,negative,2,0
2659,positive,negative,2,0
3768,negative,positive,0,2
3491,negative,positive,0,2
2106,positive,negative,2,0
1144,neutral,positive,1,2
1078,negative,positive,0,2
687,negative,positive,0,2
4849,negative,positive,0,2
2575,positive,negative,2,0
82,positive,negative,2,0
3939,positive,negative,2,0
3267,neutral,positive,1,2
3990,positive,negative,2,0
621,neutral,negative,1,0
2561,neutral,negative,1,0
985,neutral,positive,1,2
1400,neutral,negative,1,0
3334,positive,negative,2,0
1676,negative,positive,0,2
1515,negative,positive,0,2
3212,neutral,positive,1,2
1320,positive,negative,2,0
3829,neutral,negative,1,0
1008,positive,negative,2,0
2953,positive,negative,2,0
2665,neutral,positive,1,2
3155,negative,positive,0,2
3866,neutral,positive,1,2
2042,positive,negative,2,0
155,neutral,negative,1,0
4863,neutral,positive,1,2
3716,positive,neutral,2,1
1608,positive,negative,2,0
1090,negative,positive,0,2
4300,negative,neutral,0,1
1370,positive,negative,2,0
3643,positive,neutral,2,1
732,negative,positive,0,2
3299,neutral,negative,1,0
4068,positive,negative,2,0
3852,positive,negative,2,0
3423,positive,negative,2,0
3050,negative,positive,0,2
4470,negative,neutral,0,1
2056,neutral,negative,1,0
1261,neutral,negative,1,0
181,neutral,positive,1,2
984,neutral,positive,1,2
2900,positive,negative,2,0
2431,positive,neutral,2,1
889,positive,negative,2,0
4382,positive,negative,2,0
1151,positive,negative,2,0
1526,negative,positive,0,2
97,negative,positive,0,2
4722,positive,negative,2,0
3060,negative,positive,0,2
3357,positive,negative,2,0
4075,positive,negative,2,0
905,neutral,negative,1,0
790,positive,negative,2,0
3878,negative,positive,0,2
4540,positive,negative,2,0
3943,negative,positive,0,2
2159,positive,negative,2,0
856,negative,positive,0,2
1964,neutral,negative,1,0
330,neutral,positive,1,2
267,positive,negative,2,0
2701,positive,negative,2,0
855,positive,negative,2,0
1190,positive,negative,2,0
2819,positive,negative,2,0
4503,positive,negative,2,0
