guid,true_label,pred_label,true_label_id,pred_label_id
4488,negative,positive,0,2
483,neutral,positive,1,2
3661,negative,positive,0,2
2432,positive,neutral,2,1
1781,neutral,positive,1,2
4076,negative,positive,0,2
531,neutral,positive,1,2
2166,positive,neutral,2,1
3819,negative,neutral,0,1
3460,neutral,positive,1,2
891,positive,negative,2,0
39,neutral,positive,1,2
979,positive,negative,2,0
1961,negative,positive,0,2
1310,neutral,positive,1,2
4967,positive,neutral,2,1
559,negative,positive,0,2
1959,negative,positive,0,2
4047,neutral,negative,1,0
4007,negative,positive,0,2
140,neutral,positive,1,2
4416,negative,positive,0,2
1510,negative,positive,0,2
1706,positive,negative,2,0
1742,positive,neutral,2,1
3668,negative,positive,0,2
4572,positive,negative,2,0
3409,positive,neutral,2,1
3513,negative,positive,0,2
3366,positive,negative,2,0
2552,neutral,negative,1,0
180,neutral,positive,1,2
3625,negative,neutral,0,1
999,neutral,positive,1,2
3825,negative,positive,0,2
1928,negative,positive,0,2
307,positive,neutral,2,1
4716,negative,positive,0,2
2615,neutral,negative,1,0
473,negative,positive,0,2
2742,negative,positive,0,2
2661,positive,negative,2,0
580,neutral,positive,1,2
3319,positive,neutral,2,1
694,positive,negative,2,0
452,negative,positive,0,2
878,positive,negative,2,0
433,neutral,positive,1,2
2013,negative,positive,0,2
3164,negative,positive,0,2
14,positive,negative,2,0
1231,positive,negative,2,0
2865,negative,positive,0,2
545,positive,negative,2,0
536,positive,negative,2,0
2005,neutral,negative,1,0
777,positive,negative,2,0
4256,positive,negative,2,0
544,positive,negative,2,0
3361,positive,negative,2,0
4940,positive,negative,2,0
2648,positive,neutral,2,1
788,neutral,positive,1,2
3689,neutral,positive,1,2
1833,positive,neutral,2,1
110,negative,positive,0,2
4179,positive,negative,2,0
5112,negative,positive,0,2
1810,positive,negative,2,0
2763,negative,neutral,0,1
3256,negative,positive,0,2
2707,positive,neutral,2,1
2389,neutral,positive,1,2
870,neutral,positive,1,2
807,positive,neutral,2,1
1166,positive,negative,2,0
