guid,true_label,pred_label,true_label_id,pred_label_id
3901,negative,positive,0,2
1735,negative,positive,0,2
3185,positive,negative,2,0
3920,neutral,positive,1,2
1051,neutral,positive,1,2
1570,positive,negative,2,0
1808,neutral,positive,1,2
3652,negative,positive,0,2
4719,negative,positive,0,2
3491,negative,positive,0,2
2984,neutral,negative,1,0
3538,negative,neutral,0,1
2054,neutral,negative,1,0
3094,neutral,positive,1,2
4286,positive,negative,2,0
511,neutral,negative,1,0
308,positive,negative,2,0
1463,positive,negative,2,0
2892,positive,negative,2,0
5072,negative,neutral,0,1
1741,negative,neutral,0,1
3805,positive,negative,2,0
4039,positive,negative,2,0
302,negative,positive,0,2
1548,negative,positive,0,2
4602,negative,positive,0,2
1058,neutral,positive,1,2
1912,neutral,negative,1,0
2015,negative,positive,0,2
2636,neutral,negative,1,0
4805,positive,neutral,2,1
1534,negative,neutral,0,1
2050,positive,neutral,2,1
3811,positive,neutral,2,1
3983,positive,negative,2,0
142,neutral,positive,1,2
4494,negative,positive,0,2
2111,neutral,negative,1,0
927,neutral,negative,1,0
582,neutral,positive,1,2
2605,negative,positive,0,2
4092,neutral,negative,1,0
2077,neutral,negative,1,0
2058,neutral,positive,1,2
2787,neutral,positive,1,2
4238,positive,negative,2,0
1878,negative,positive,0,2
1016,neutral,positive,1,2
260,negative,positive,0,2
450,negative,positive,0,2
2038,neutral,positive,1,2
4182,negative,positive,0,2
3212,neutral,positive,1,2
2450,neutral,negative,1,0
1288,negative,positive,0,2
3943,negative,positive,0,2
4191,negative,positive,0,2
164,negative,positive,0,2
4748,positive,negative,2,0
1964,neutral,positive,1,2
4515,neutral,positive,1,2
3844,neutral,positive,1,2
689,negative,positive,0,2
4528,positive,neutral,2,1
4003,negative,positive,0,2
3853,positive,negative,2,0
4817,positive,negative,2,0
3478,negative,positive,0,2
985,neutral,positive,1,2
787,positive,negative,2,0
3155,negative,positive,0,2
4041,positive,negative,2,0
3856,neutral,positive,1,2
1071,neutral,positive,1,2
4998,positive,negative,2,0
4760,neutral,positive,1,2
1366,positive,neutral,2,1
1739,negative,neutral,0,1
211,neutral,negative,1,0
889,positive,negative,2,0
3557,negative,positive,0,2
1928,negative,positive,0,2
4170,negative,positive,0,2
2131,negative,positive,0,2
4419,negative,positive,0,2
1673,positive,negative,2,0
2961,negative,positive,0,2
4470,negative,positive,0,2
1862,neutral,positive,1,2
4443,positive,negative,2,0
4939,negative,positive,0,2
1535,positive,negative,2,0
2311,neutral,positive,1,2
4914,positive,neutral,2,1
2976,negative,positive,0,2
4584,negative,positive,0,2
4669,neutral,positive,1,2
1403,negative,neutral,0,1
3749,positive,negative,2,0
3164,negative,positive,0,2
1148,positive,neutral,2,1
3831,negative,positive,0,2
1240,positive,neutral,2,1
2934,positive,neutral,2,1
340,neutral,positive,1,2
