guid,true_label,pred_label,true_label_id,pred_label_id
3901,negative,positive,0,2
154,positive,negative,2,0
3185,positive,negative,2,0
552,neutral,negative,1,0
3920,neutral,negative,1,0
4373,positive,negative,2,0
554,positive,negative,2,0
1051,neutral,positive,1,2
1570,positive,negative,2,0
1846,neutral,negative,1,0
1808,neutral,positive,1,2
3652,negative,positive,0,2
4719,negative,positive,0,2
3491,negative,positive,0,2
2984,neutral,negative,1,0
4344,positive,negative,2,0
2054,neutral,negative,1,0
3094,neutral,negative,1,0
4286,positive,negative,2,0
511,neutral,negative,1,0
308,positive,negative,2,0
1463,positive,negative,2,0
2892,positive,negative,2,0
5072,negative,positive,0,2
1741,negative,positive,0,2
3805,positive,negative,2,0
4039,positive,negative,2,0
302,negative,positive,0,2
2947,positive,negative,2,0
1058,neutral,positive,1,2
3634,positive,negative,2,0
2636,neutral,negative,1,0
4805,positive,neutral,2,1
2050,positive,neutral,2,1
3983,positive,negative,2,0
3242,positive,negative,2,0
142,neutral,negative,1,0
4494,negative,positive,0,2
1525,positive,negative,2,0
2111,neutral,negative,1,0
927,neutral,negative,1,0
582,neutral,negative,1,0
478,positive,negative,2,0
581,neutral,negative,1,0
2145,positive,negative,2,0
135,positive,negative,2,0
4092,neutral,negative,1,0
402,negative,positive,0,2
2077,neutral,negative,1,0
2058,neutral,negative,1,0
4149,positive,negative,2,0
2787,neutral,positive,1,2
4238,positive,negative,2,0
1878,negative,positive,0,2
1016,neutral,positive,1,2
2436,positive,neutral,2,1
2038,neutral,positive,1,2
545,positive,negative,2,0
4548,positive,negative,2,0
3212,neutral,positive,1,2
2544,positive,negative,2,0
2450,neutral,negative,1,0
1288,negative,positive,0,2
3943,negative,positive,0,2
4191,negative,positive,0,2
4748,positive,negative,2,0
1964,neutral,negative,1,0
3590,positive,negative,2,0
4515,neutral,positive,1,2
3844,neutral,negative,1,0
3198,positive,negative,2,0
4528,positive,negative,2,0
3853,positive,negative,2,0
4817,positive,negative,2,0
3478,negative,positive,0,2
985,neutral,positive,1,2
787,positive,negative,2,0
2790,neutral,negative,1,0
3155,negative,positive,0,2
4041,positive,negative,2,0
3856,neutral,positive,1,2
1071,neutral,positive,1,2
4760,neutral,negative,1,0
1370,positive,negative,2,0
1366,positive,negative,2,0
4412,positive,negative,2,0
211,neutral,negative,1,0
889,positive,negative,2,0
4170,negative,neutral,0,1
2131,negative,positive,0,2
1394,neutral,negative,1,0
4419,negative,positive,0,2
1673,positive,negative,2,0
1862,neutral,negative,1,0
416,positive,negative,2,0
4443,positive,negative,2,0
4939,negative,positive,0,2
1535,positive,negative,2,0
2311,neutral,positive,1,2
3730,positive,negative,2,0
4914,positive,negative,2,0
4584,negative,positive,0,2
4669,neutral,positive,1,2
3749,positive,negative,2,0
3812,positive,negative,2,0
3164,negative,positive,0,2
2144,positive,negative,2,0
4241,positive,negative,2,0
1240,positive,negative,2,0
3322,positive,neutral,2,1
2934,positive,negative,2,0
2034,positive,negative,2,0
340,neutral,positive,1,2
4481,positive,negative,2,0
3858,positive,negative,2,0
5121,positive,negative,2,0
4546,positive,negative,2,0
3704,positive,negative,2,0
1819,negative,positive,0,2
4806,positive,negative,2,0
4290,negative,neutral,0,1
4583,positive,negative,2,0
2101,positive,negative,2,0
1982,positive,negative,2,0
1510,negative,positive,0,2
2313,negative,positive,0,2
1692,neutral,negative,1,0
1012,neutral,negative,1,0
531,neutral,negative,1,0
4943,negative,positive,0,2
1515,negative,positive,0,2
3477,positive,negative,2,0
642,negative,positive,0,2
5063,positive,negative,2,0
1391,positive,negative,2,0
2076,positive,negative,2,0
3335,positive,negative,2,0
2368,positive,negative,2,0
3800,negative,positive,0,2
1676,negative,positive,0,2
4349,negative,positive,0,2
73,neutral,negative,1,0
621,neutral,negative,1,0
5099,positive,negative,2,0
1299,positive,negative,2,0
5119,positive,negative,2,0
933,positive,negative,2,0
202,negative,positive,0,2
4972,positive,negative,2,0
2634,positive,negative,2,0
2097,positive,negative,2,0
3507,positive,negative,2,0
4841,negative,positive,0,2
3323,positive,negative,2,0
687,negative,positive,0,2
2933,neutral,negative,1,0
1104,neutral,positive,1,2
4120,positive,negative,2,0
655,positive,negative,2,0
2648,positive,negative,2,0
1706,positive,negative,2,0
2377,positive,neutral,2,1
2574,positive,negative,2,0
1561,negative,positive,0,2
3460,neutral,negative,1,0
1080,positive,negative,2,0
3357,positive,negative,2,0
1028,neutral,negative,1,0
267,positive,negative,2,0
1959,negative,positive,0,2
185,positive,negative,2,0
